,course_id,dept,course_num,title
0,1193,LING,24450,Lexical Functional Grammar.
1,304,TAPS,24500,Chicago Theater: Budgets and Buildings.
2,758,FNDL,21414,The Art of Leonardo da Vinci.
3,1245,MATH,24300,Introduction to Algebraic Curves.
4,402,NEHC,20603,Islamic Thought and Literature III.
5,14,ANTH,21264,Political Struggles of Highland Asia.
6,1655,FREN,33333,Reading French for Research Purposes.
7,613,CMSC,15100,Introduction to Computer Science I.
8,570,CRES,24706,Edo/Tokyo: Society and the City in Japan.
9,23,ANTH,21429,"Idioms of Biopolitics: On Health, Power and Medicine."
10,1603,RLST,20402,Islamic Thought and Literature II.
11,1961,TBTN,20300,Second-Year Tibetan III.
12,1100,HMRT,20116,Global-Local Politics.
13,1278,FNDL,21714,"Boccaccio's ""Decameron"""
14,1042,HIPS,25600,History of Statistics.
15,1289,LATN,25000,Augustine's Confessions.
16,1861,SOCI,20120,Urban Policy Analysis.
17,544,CMLT,27451,Imagining the Hermit in Chinese Literature and Art.
18,447,GREK,20200,Intermediate Greek II: Sophocles.
19,1757,POLI,10203,First-Year Polish II.
20,611,CMSC,12200,Computer Science with Applications II.
21,272,CHEM,33300,Chemical Biology II.
22,507,CHDV,25120,Child Development and Public Policy.
23,2263,ENSC,23805,Stable Isotope Biogeochemistry.
24,1523,PLSC,21009,Experiments in American Politics and Policy.
25,1446,NEHC,20884,The Brighter Side of the Balkans: Humor & Satire in Lit & Film.
26,1988,STAT,29700,Undergraduate Research.
27,1858,SOCI,20112,Applications of Hierarchical Linear Models.
28,1399,EGPT,20102,Introduction to Hieratic.
29,58,ANTH,24512,Anthropology of Museums II.
30,625,CMSC,22620,Implementation of Computer Languages II.
31,973,HIST,25503,Junior Seminar: My Favorite Readings in the History and Philosophy of Science.
32,1836,SOSC,24100,Introduction to Russian Civilization II.
33,2228,BIOS,27714,Methods in Microbial Ecology – Marine Biological Laboratory.
34,398,NEHC,20502,Islamic History and Society II: The Middle Period.
35,2067,ARTV,25300,Introduction to Film Analysis.
36,1049,HIPS,27302,"Culture, Mental Health, and Psychiatry."
37,1568,PSYC,20100,Psychological Statistics.
38,2118,BIOS,20151,Introduction to Quantitative Modeling in Biology (Basic)
39,354,EALC,11000,Introduction to the Civilizations of East Asia III.
40,2221,BIOS,25407,Organ Transplantation.
41,371,HIST,13300,History of Western Civilization III.
42,660,CHIN,20100,Intermediate Modern Chinese I.
43,70,ANTH,25900,South Asian Archaeology.
44,1003,HIST,29658,History Colloquium: European Cultural History.
45,1231,MATH,19620,Linear Algebra.
46,1275,ENGL,14801,Monsters and Men: Difference and Fear in Medieval England.
47,145,ARTH,27215,Public Sculpture.
48,1690,ITAL,24910,Italo Svevo.
49,1235,MATH,20400,Analysis in Rn II.
50,102,ANTH,29910,Bachelor's Essay Seminar.
51,1044,HIPS,25901,Evolution of Mind and Morality: Nineteenth to Twenty-First Centuries.
52,2138,BIOS,20200,Introduction to Biochemistry.
53,1229,MATH,17600,Basic Geometry.
54,2316,PHYS,23500,Quantum Mechanics II.
55,2116,BIOS,15123,The Microbiome in Human and Environmental  Health.
56,1509,PHIL,29400,Intermediate Logic.
57,1805,REES,29016,"Poetics of Gender in the Balkans: Wounded Men, Sworn Virgins, Eternal Mothers."
58,699,KORE,20100,Intermediate Korean I.
59,1122,INST,29801,BA Thesis (Winter Seminar)
60,317,CMST,24108,Indian Art Cinema.
61,813,GEOG,26300,The Chinese Environment.
62,35,ANTH,22609,Indigenous Methodologies.
63,2148,BIOS,21317,Topics in Biological Chemistry.
64,334,CMST,27702,Photography II.
65,762,FNDL,24525,Hannah Arendt: On Revolution.
66,870,GRMN,20300,Kurzprosa aus dem 20. Jahrhundert.
67,1733,SPAN,29900,BA Paper Preparation: Spanish.
68,52,ANTH,24101,Introduction to the Civilizations of South Asia I.
69,325,CMST,25945,Digital Storytelling.
70,609,CMSC,11710,Networks.
71,1840,SOSC,25100,Urban Structure and Process.
72,2064,ARTV,24401,Photography I.
73,347,CMST,29800,Senior Colloquium.
74,2114,BIOS,15115,Cancer Biology: How Good Cells Go Bad.
75,1386,ARAM,10403,Elementary Syriac III.
76,1224,MATH,15900,Introduction to Proofs in Analysis and Linear Algebra.
77,400,NEHC,20601,Islamic Thought and Literature I.
78,860,GEOS,29002,Field Course in Modern and Ancient Environments.
79,1333,MUSI,23410,Music of the Middle East.
80,2119,BIOS,20152,Introduction to Quantitative Modeling in Biology (Advanced)
