,building_code,lat,lon
0,PLA,41.6937071,-87.6057178
1,ERL,41.791344,-87.6025407
2,CSM,41.7858082,-87.5952016
3,JCL,41.790225,-87.60255599999999
4,RH,41.78980139999999,-87.5959207
5,FMI,41.7883128,-87.6045656
6,ALAB,41.7913717,-87.60251269999999
7,PSY K,41.78839180000001,-87.598107
8,WMC,41.7844379,-87.6023598
9,SS,41.7879045,-87.598559
10,HGS,41.7902646,-87.6014299
11,A,41.7913766,-87.5999976
12,Y,41.7934028,-87.60085939999999
13,SBRI,41.7891206,-87.60175799999999
14,NGR,41.786033,-87.59436660000001
15,RY,41.7901848,-87.59917689999997
16,NORC,41.7856443,-87.5970978
17,SHFE,41.7899776,-87.598015
18,BSLC,41.7917602,-87.60278749999999
19,BH A,41.7883128,-87.6045656
20,UCO,41.7856443,-87.5970978
21,RU,41.7883128,-87.6045656
22,BMI,41.7878573,-87.6027919
23,5727,41.790645,-87.5980402
24,W,41.7889761,-87.5987447
25,KCBD,41.7915302,-87.60356469999999
26,C,41.7889469,-87.60093310000002
27,OR,41.7892223,-87.597811
28,BH P,41.7883128,-87.6045656
29,GMH,41.7883128,-87.6045656
30,GSB,41.7890569,-87.5955604
31,RI,41.7919187,-87.60152459999999
32,KPTC,41.7909626,-87.601317
33,DASM,41.793736,-87.599959
34,BH H,41.7883128,-87.6045656
35,TAAC,41.79294549999999,-87.6037632
36,BH W,41.790432,-87.59790799999999
37,BH O,41.7883128,-87.6045656
38,HF,41.7897605,-87.59643719999997
39,FMNH,41.8661733,-87.61698620000001
40,MSI,41.7906088,-87.5830586
41,S,41.789113,-87.60015199999998
42,WR,41.789513,-87.5931537
43,HMEZ,41.7939867,-87.59974549999998
44,INH,41.7880136,-87.595534
45,BG,41.7924902,-87.5981205
46,RC,41.7909142,-87.5982633
47,ING,41.7897048,-87.60539449999999
48,MKL,41.7896402,-87.6033044
49,CL,41.7879106,-87.6008281
50,CH,41.7913766,-87.5999976
51,LGH,42.03848130000001,-87.8475838
52,LBQ,41.7850601,-87.5990015
53,UH,41.7893743,-87.593183
54,G-B,41.7891499,-87.60122659999999
55,STU,41.7884006,-87.59909929999999
56,HHB,41.7885458,-87.59475659999998
57,SM,41.790645,-87.5980402
58,INT,41.788077,-87.5909514
59,HD,41.7897866,-87.59643799999999
60,Q,41.7913988,-87.5976079
61,P,41.7890735,-87.59803699999999
62,GCIS,41.7912755,-87.60247179999999
63,TH,41.7858745,-87.6028896
64,B455,41.8899177,-87.6213739
65,GHJ,41.7906176,-87.6012741
66,LH,41.7895543,-87.6009129
67,ZDC,41.7883128,-87.6045656
68,WMH,41.9664324,-87.6493557
69,TTI,41.78481,-87.59260359999999
70,ACC,41.7931102,-87.60135609999998
71,BH N,41.7883128,-87.6045656
72,NBL,41.9000473,-87.63054609999999
73,GSRP,41.790432,-87.59790799999999
74,B-J,41.7857697,-87.6009055
75,RI L,41.79233320000001,-87.602497
76,ANL,41.7130218,-87.96053839999999
77,OL,41.7879643,-87.5984235
78,EBC,41.791388,-87.5988473
79,HHMI,41.7883128,-87.6045656
80,RMC,41.788241,-87.5968266
81,PSY,41.78839180000001,-87.598107
82,HM,41.7879529,-87.5995619
83,GO H,41.7891499,-87.60122659999999
84,AAC,41.7919187,-87.60152459999999
85,CAF,41.7878573,-87.6027919
86,BL,41.7878458,-87.5926846
87,JRL,41.7923796,-87.6000559
88,WB,41.78869700000001,-87.6006031
89,RAC,41.794474,-87.6016284
90,BPSB,41.7913717,-87.60251269999999
91,K,41.7900088,-87.60020999999999
92,BH S,41.7883128,-87.6045656
93,WH,41.7913399,-87.60287950000001
94,HC,41.7890569,-87.5955604
95,M,41.7858733,-87.6029944
96,E,41.79021683778839,-87.59817034006119
97,GC,41.88961930000001,-87.6222317
98,CLSC,41.7895462,-87.6030845
99,BH E,41.7883128,-87.6045656
100,BH M,41.7883128,-87.6045656
101,CWAC,41.7939,-87.6001598
102,BH Q,41.7883128,-87.6045656
103,WBH,41.7905845,-87.5980386
104,BH,41.7883128,-87.6045656
105,AB,41.7894069,-87.602553
106,LC,41.7854503,-87.603927
107,HCFH,41.793486,-87.59812819999999
108,PR,41.7857826,-87.5905417
109,Z,41.7913875,-87.5988972
110,MARP,41.78906490000001,-87.60449229999999
111,CLI,41.78906490000001,-87.60449229999999
112,EFI,41.7919187,-87.60152459999999
113,H,41.7939867,-87.59974549999998
114,RO,41.7889722,-87.59926280000002
115,PSY G,41.78839180000001,-87.598107
116,CTS,41.785794,-87.5910961
117,WCH,41.7883128,-87.6045656
118,DDH,41.7883128,-87.6045656
119,ART INT,41.8795473,-87.6237238
120,MH,41.78906490000001,-87.60449229999999
121,M/L,41.7914229,-87.59643229999999
122,J,41.7885908,-87.5945351
123,HEP,41.7931669,-87.6023833
124,PBPL,41.7856443,-87.5970978
125,CHAP,41.7858115,-87.592823
126,ICR,41.7926472,-87.6013466
127,SCL,41.7905951,-87.60100489999999
128,ED,41.7848651,-87.60152579999999
129,AH,41.7883128,-87.6045656
130,MRH,41.8416912,-87.61376179999999
131,AMB,41.7883128,-87.6045656
132,BRH,41.787824,-87.6031045
133,EHN,42.0655989,-87.6842083
134,OSC,41.7856443,-87.5970978
135,JFI,41.7919187,-87.60152459999999
136,SSC,41.7844379,-87.6023598
137,PSY B,41.78839180000001,-87.598107
138,LASR,41.7931664,-87.60241959999999
139,LARA,41.7772417,-87.5712868
140,RI A,41.7913717,-87.60251269999999
141,MS,41.790645,-87.5980402
142,F,41.7879643,-87.5984235
143,L,41.7895589,-87.5931562
144,SSA,41.7855797,-87.60173499999999
