,meeting_pattern_id,day,time_start,time_end
0,mp0,M,1400,1700
1,mp1,R,900,1150
2,mp2,M,1800,2050
3,mp3,T,1330,1620
4,mp4,F,1330,1550
5,mp5,TR,900,1020
6,mp6,MWF,930,1020
7,mp7,TR,1030,1150
8,mp8,TR,1200,1320
9,mp9,M,1230,1520
10,mp10,F,1330,1630
11,mp11,TR,1500,1620
12,mp12,TR,1330,1450
13,mp13,MWF,1130,1220
14,mp14,W,1030,1320
15,mp15,M,1330,1620
16,mp16,M,1600,1800
17,mp17,W,1330,1620
18,mp18,MW,1330,1420
19,mp19,T,1200,1320
20,mp20,MWF,1030,1120
21,mp21,M,1145,1315
22,mp22,M,1300,1550
23,mp23,R,1200,1450
24,mp24,MW,1500,1620
25,mp25,MWF,1030,1220
26,mp26,T,1800,2100
27,mp27,T,1600,1850
28,mp28,W,1800,2100
29,mp29,R,1330,1620
30,mp30,MW,1030,1120
31,mp31,W,1100,1350
32,mp32,W,1600,1850
33,mp33,M,900,1150
34,mp34,R,830,1130
35,mp35,MW,1330,1450
36,mp36,T,830,1130
37,mp37,T,900,1150
38,mp38,W,1320,1450
39,mp39,W,1600,1800
40,mp40,MW,1030,1220
41,mp41,TR,1200,1300
42,mp42,F,1130,1320
43,mp43,M,930,1220
44,mp44,MWF,830,920
45,mp45,W,900,1150
46,mp46,MTWR,800,1200
47,mp47,MW,1630,1750
48,mp48,R,1630,1730
49,mp49,R,1320,1450
50,mp50,R,1530,1830
51,mp51,W,830,1130
52,mp52,TF,1025,1205
53,mp53,R,1330,1630
54,mp54,TR,1630,1750
55,mp55,R,1830,2130
56,mp56,W,945,1145
57,mp57,MWR,1330,1435
58,mp58,W,1810,2010
59,mp59,TR,1300,1500
60,mp60,WF,1330,1450
61,mp61,MW,1130,1320
62,mp62,MWF,1230,1320
63,mp63,MTRF,600,1700
64,mp64,MW,900,1020
65,mp65,W,1500,1650
66,mp66,MWF,1430,1520
67,mp67,T,1330,1630
68,mp68,MWF,1330,1420
69,mp69,T,1200,1450
70,mp70,F,900,1150
71,mp71,R,1330,1520
72,mp72,MWR,1445,1550
73,mp73,T,1030,1320
74,mp74,TF,1330,1510
75,mp75,R,1800,2100
76,mp76,MW,1330,1520
77,mp77,M,1500,1750
78,mp78,R,1530,1650
79,mp79,TR,1000,1150
80,mp80,M,1130,1420
81,mp81,WR,600,1600
82,mp82,MTWRF,600,1800
83,mp83,T,1330,1450
84,mp84,W,930,1220
85,mp85,F,1800,2100
86,mp86,F,1330,1620
87,mp87,R,1330,1450
88,mp88,TF,1500,1620
89,mp89,F,930,1020
90,mp90,W,1500,1750
91,mp91,MWF,830,1020
92,mp92,W,1430,1730
93,mp93,R,1100,1350
94,mp94,MTWRF,730,1700
95,mp95,S,900,1200
96,mp96,W,1730,2030
97,mp97,TR,900,1030
98,mp98,F,1600,1700
99,mp99,T,1600,1900
100,mp100,M,1600,1730
101,mp101,MWF,1130,1320
102,mp102,TR,1030,1130
103,mp103,W,1330,1630
104,mp104,F,930,1220
105,mp105,MTWRF,930,1020
106,mp106,MTWRF,800,1700
107,mp107,MTWRF,1030,1120
108,mp108,W,1630,1920
109,mp109,MWF,1000,1120
110,mp110,TR,1330,1620
111,mp111,M,1030,1150
112,mp112,W,1030,1250
113,mp113,TR,1500,1650
114,mp114,T,1730,2030
115,mp115,T,1730,2020
116,mp116,MWF,1230,1420
117,mp117,R,900,1200
118,mp118,F,1400,1700
119,mp119,R,900,1020
120,mp120,M,1430,1720
121,mp121,MTWRF,830,1700
122,mp122,WF,1030,1320
123,mp123,T,1630,1750
124,mp124,MTRF,630,1600
125,mp125,M,1200,1450
126,mp126,M,1630,1920
127,mp127,M,1730,2020
128,mp128,T,1810,2010
129,mp129,R,1200,1320
130,mp130,MW,1130,1220
131,mp131,MTWRF,800,1630
132,mp132,MW,1700,1820
133,mp133,T,1530,1700
134,mp134,R,1500,1750
135,mp135,M,1500,1720
136,mp136,MWR,945,1050
137,mp137,W,1630,1750
138,mp138,W,700,1600
139,mp139,M,1810,2140
140,mp140,MW,1030,1150
141,mp141,MTWRF,630,1630
142,mp142,T,1040,1200
143,mp143,R,1730,2020
144,mp144,M,1730,2030
145,mp145,S,1400,1600
146,mp146,MW,1330,1430
147,mp147,R,1730,2030
148,mp148,T,1030,1150
149,mp149,R,1800,2050
150,mp150,T,830,1010
151,mp151,MTWRF,830,920
152,mp152,T,1600,1800
153,mp153,T,1230,1520
154,mp154,M,1800,2100
155,mp155,W,1730,1830
156,mp156,MWR,1100,1205
157,mp157,MF,1430,1600
158,mp158,W,1530,1730
