,section_id,course_id,section_num,meeting_pattern_id,building_code,enrollment
0,sec_0,3275,01,mp0,PSY,-1
1,sec_1,3602,01,mp1,SHFE,15
2,sec_2,3328,01,mp2,S,25
3,sec_3,1037,01,mp3,SS,35
4,sec_4,3654,01,mp4,OR,20
5,sec_5,3287,01,mp5,C,25
6,sec_6,1710,01,mp6,C,18
7,sec_7,673,01,mp6,WB,18
8,sec_8,1002,01,mp7,WB,20
9,sec_9,2578,02,mp3,SSA,30
10,sec_10,1068,03,mp8,W,-1
11,sec_11,2411,01,mp9,RO,20
12,sec_12,3344,01,mp10,HC,65
13,sec_13,3739,01,mp11,P,20
14,sec_14,3238,01,mp12,CL,30
15,sec_15,1651,03,mp13,C,18
16,sec_16,3365,01,mp14,C,15
17,sec_17,3458,01,mp7,CL,25
18,sec_18,3487,01,mp7,S,70
19,sec_19,603,01,mp11,RY,35
20,sec_20,2973,01,mp7,F,25
21,sec_22,2566,01,mp15,F,-1
22,sec_23,3527,01,mp16,LBQ,25
23,sec_24,3184,01,mp17,JRL,25
24,sec_25,3530,01,mp7,H,30
25,sec_26,573,01,mp18,HGS,95
26,sec_27,1083,02,mp19,K,-1
27,sec_28,2750,01,mp8,SHFE,-1
28,sec_29,1250,31,mp20,E,35
29,sec_30,3503,01,mp8,P,-1
30,sec_31,3066,01,mp21,HC,65
31,sec_32,3099,01,mp22,S,20
32,sec_33,1526,01,mp12,GSRP,20
33,sec_34,1071,05,mp11,WB,-1
34,sec_35,3389,01,mp1,SSA,30
35,sec_36,2406,01,mp23,M,-1
36,sec_37,1704,01,mp24,C,20
37,sec_38,2387,01,mp24,CL,25
38,sec_39,1918,01,mp25,F,25
39,sec_40,2984,82,mp26,GC,65
40,sec_41,2472,01,mp27,S,20
41,sec_42,2971,01,mp15,P,20
42,sec_44,3149,01,mp8,SHFE,-1
43,sec_45,3250,01,mp5,SHFE,40
44,sec_46,2571,01,mp12,C,-1
45,sec_47,2469,01,mp5,SS,25
46,sec_48,2570,81,mp28,GC,65
47,sec_49,2933,01,mp29,PSY,15
48,sec_50,401,00,mp30,STU,60
49,sec_51,2730,01,mp31,S,20
50,sec_52,3189,01,mp32,S,20
51,sec_53,1948,01,mp11,C,18
52,sec_54,2410,06,mp33,SSA,40
53,sec_55,1710,03,mp13,C,18
54,sec_56,2465,01,mp11,C,25
55,sec_57,2678,02,mp28,GC,15
56,sec_58,2457,03,mp34,HC,65
57,sec_59,2996,01,mp5,S,20
58,sec_60,1071,06,mp35,SHFE,-1
59,sec_61,2664,01,mp36,HC,65
60,sec_62,1601,01,mp12,C,30
61,sec_63,1062,10,mp11,P,-1
62,sec_64,2713,06,mp7,PBPL,50
63,sec_65,3519,01,mp7,HM,20
64,sec_66,2419,01,mp37,RO,15
65,sec_67,3289,01,mp35,MS,100
66,sec_68,2977,01,mp38,HC,65
67,sec_69,3075,01,mp39,LBQ,30
68,sec_70,3105,02,mp17,M,-1
69,sec_71,3636,01,mp16,LBQ,-1
70,sec_73,2334,01,mp40,LC,-1
71,sec_74,1875,01,mp24,HM,20
72,sec_76,1829,01,mp35,C,30
73,sec_77,3022,01,mp41,BH,50
74,sec_78,1649,01,mp20,C,18
75,sec_79,2969,01,mp15,P,20
76,sec_80,1692,01,mp15,HM,20
77,sec_81,3799,01,mp29,F,-1
78,sec_82,2515,01,mp6,CL,18
79,sec_85,3115,01,mp2,PBPL,50
80,sec_86,2699,01,mp42,SHFE,-1
81,sec_87,2405,01,mp8,SHFE,-1
82,sec_88,139,01,mp12,CWAC,18
83,sec_89,2400,02,mp33,SSA,40
84,sec_90,2349,01,mp43,JRL,15
85,sec_91,1222,11,mp44,RY,27
86,sec_92,3534,01,mp12,BSLC,25
87,sec_93,1068,06,mp35,WB,-1
88,sec_95,3138,01,mp8,SHFE,-1
89,sec_96,1077,11,mp7,SS,-1
90,sec_97,2606,01,mp45,PSY,20
91,sec_98,3237,01,mp7,OR,32
92,sec_99,2356,30,mp46,,1
93,sec_101,2299,BB,mp5,KPTC,126
94,sec_102,2874,01,mp41,BH,50
95,sec_104,975,01,mp8,STU,60
96,sec_105,1859,01,mp47,STU,75
97,sec_106,924,01,mp18,HGS,95
98,sec_107,3694,01,mp11,K,250
99,sec_108,2203,01,mp12,BSLC,40
100,sec_110,2432,01,mp48,BH,50
101,sec_111,17,01,mp35,RY,40
102,sec_112,3590,01,mp49,HC,65
103,sec_114,611,01,mp6,HM,76
104,sec_115,1551,01,mp11,K,250
105,sec_116,2990,01,mp50,HC,22
106,sec_117,1229,30,mp7,E,20
107,sec_118,1257,20,mp5,E,30
108,sec_119,2736,01,mp5,S,20
109,sec_120,2365,04,mp51,HC,55
110,sec_121,3796,01,mp1,SSA,30
111,sec_122,3680,01,mp52,LBQ,20
112,sec_123,325,01,mp8,RO,40
113,sec_124,2980,01,mp24,WB,12
114,sec_125,2428,01,mp24,HM,20
115,sec_126,2143,01,mp8,BSLC,45
116,sec_127,3085,01,mp45,PBPL,-1
117,sec_129,3063,01,mp24,WB,12
118,sec_130,1322,02,mp8,LC,18
119,sec_131,3798,01,mp35,S,25
120,sec_132,3686,01,mp24,SS,15
121,sec_133,2106,01,mp7,BSLC,70
122,sec_134,2689,01,mp53,,-1
123,sec_135,2299,AA,mp6,KPTC,142
124,sec_136,3321,02,mp54,SHFE,50
125,sec_137,2365,01,mp36,HC,55
126,sec_138,1235,37,mp20,E,30
127,sec_139,3470,01,mp8,H,30
128,sec_140,3731,01,mp55,MS,130
129,sec_141,3121,01,mp8,SHFE,50
130,sec_142,367,05,mp7,C,19
131,sec_143,2402,01,mp56,LBQ,15
132,sec_144,3468,01,mp39,LBQ,20
133,sec_145,373,02,mp5,WB,19
134,sec_146,2446,02,mp57,LBQ,103
135,sec_147,1432,01,mp12,OR,15
136,sec_148,2892,03,mp11,RO,35
137,sec_149,2548,01,mp5,BSLC,15
138,sec_150,1879,01,mp47,STU,60
139,sec_151,2326,01,mp58,LBQ,30
140,sec_152,3214,01,mp59,BH,-1
141,sec_153,796,01,mp12,C,25
142,sec_154,153,01,mp60,KPTC,35
143,sec_155,3333,01,mp11,C,30
144,sec_156,1500,00,mp61,C,38
145,sec_157,1173,02,mp62,C,26
146,sec_158,1373,01,mp6,WB,15
147,sec_159,2330,02,mp53,HC,65
148,sec_160,3119,01,mp40,ED,15
149,sec_161,3134,01,mp7,RO,60
150,sec_162,2627,35,mp63,,2
151,sec_163,3074,01,mp64,SHFE,75
152,sec_164,1553,01,mp12,P,-1
153,sec_165,32,01,mp3,H,-1
154,sec_166,1122,04,mp65,WB,13
155,sec_167,1080,02,mp7,WB,-1
156,sec_168,3420,01,mp12,C,25
157,sec_169,3174,01,mp24,CWAC,18
158,sec_171,1837,02,mp5,LC,19
159,sec_172,3367,01,mp7,GCIS,-1
160,sec_173,2868,01,mp66,E,35
161,sec_175,2082,00,mp8,BSLC,40
162,sec_176,2372,82,mp28,GC,65
163,sec_178,3133,01,mp20,C,18
164,sec_179,1146,01,mp35,SS,35
165,sec_180,2960,01,mp67,HC,65
166,sec_181,3042,01,mp47,STU,75
167,sec_182,3008,01,mp37,P,20
168,sec_183,3405,01,mp68,E,20
169,sec_185,3819,01,mp15,C,10
170,sec_186,1945,01,mp12,C,18
171,sec_187,2605,01,mp69,WB,12
172,sec_188,1222,32,mp7,P,29
173,sec_189,3183,01,mp8,K,150
174,sec_190,2665,01,mp70,S,20
175,sec_191,3094,01,mp35,PBPL,40
176,sec_193,3421,01,mp3,SHFE,15
177,sec_194,93,01,mp71,H,30
178,sec_195,3588,01,mp69,WB,12
179,sec_196,968,01,mp3,SS,35
180,sec_197,2484,01,mp37,SSA,30
181,sec_198,3729,01,mp11,C,30
182,sec_199,1420,01,mp8,C,10
183,sec_200,3558,01,mp35,P,35
184,sec_201,1757,01,mp20,C,18
185,sec_202,3285,01,mp72,LBQ,85
186,sec_203,2302,BB,mp7,KPTC,49
187,sec_204,2961,01,mp29,F,-1
188,sec_205,3735,01,mp73,LC,-1
189,sec_207,2475,01,mp19,PBPL,30
190,sec_208,2503,01,mp74,LBQ,118
191,sec_209,2637,01,mp35,PBPL,50
192,sec_211,2762,01,mp35,HM,20
193,sec_213,1068,07,mp24,WB,-1
194,sec_214,1080,11,mp35,C,-1
195,sec_216,1836,02,mp8,C,25
196,sec_217,2142,01,mp35,BSLC,18
197,sec_218,1077,06,mp35,CL,-1
198,sec_219,1104,01,mp24,C,30
199,sec_221,1973,01,mp7,BSLC,30
200,sec_222,2749,81,mp75,GC,70
201,sec_223,2041,02,mp76,LC,-1
202,sec_224,3747,01,mp12,HGS,18
203,sec_225,1116,01,mp11,WB,15
